Transaction_ID,Transaction_Date,Account_ID,Transaction_Category,Amount,Payment_Method,City,Status,Risk_Score,Risk_Level
TXN100245,2026-06-28 07:53:00,ACC1027,Food & Dining,163906.43,Credit Card,Hyderabad,Failed,95,Critical
TXN100423,2026-06-29 07:24:00,ACC1035,Healthcare,100786.89,Credit Card,Kolkata,Failed,70,High
TXN100414,2026-07-05 06:57:00,ACC1023,Bills,367.03,Debit Card,Chennai,Pending,35,Medium
TXN100414,2026-07-05 06:57:00,ACC1023,Bills,367.03,Debit Card,Chennai,Pending,35,Medium
TXN100489,2026-07-05 12:09:00,ACC1042,Transfer,186348.96,Debit Card,Delhi,Pending,85,Critical
TXN100142,2026-07-07 06:56:00,ACC1050,Transfer,162978.11,Net Banking,Ahmedabad,Completed,60,High
TXN100366,2026-07-08 01:11:00,ACC1012,Transfer,215277.94,Net Banking,Hyderabad,Completed,60,High
TXN100221,2026-07-09 04:56:00,ACC1003,Travel,2324.92,UPI,Bengaluru,Completed,60,High
TXN100221,2026-07-09 04:56:00,ACC1003,Travel,2324.92,UPI,Bengaluru,Completed,60,High
TXN100426,2026-07-10 11:15:00,ACC1025,Food & Dining,98764.69,Credit Card,Chennai,Completed,40,Medium
TXN100013,2026-07-12 20:23:00,ACC1042,Travel,2722.5,Net Banking,Ahmedabad,Completed,60,High
TXN100013,2026-07-12 20:23:00,ACC1042,Travel,2722.5,Net Banking,Ahmedabad,Completed,60,High
TXN100129,2026-07-13 22:58:00,ACC1069,Healthcare,143293.15,Wallet,Hyderabad,Completed,60,High
TXN100020,2026-07-14 17:15:00,ACC1058,Entertainment,187428.35,UPI,Ahmedabad,Failed,95,Critical
TXN100249,2026-07-16 08:38:00,ACC1034,Bills,1051.42,Net Banking,Delhi,Completed,35,Medium
TXN100249,2026-07-16 08:38:00,ACC1034,Bills,1051.42,Net Banking,Delhi,Completed,35,Medium
TXN100233,2026-07-16 23:19:00,ACC1056,Healthcare,206737.19,Debit Card,Hyderabad,Completed,60,High
TXN100448,2026-07-16 23:55:00,ACC1042,Travel,238533.79,Credit Card,Ahmedabad,Pending,85,Critical
TXN100044,2026-07-17 09:23:00,ACC1042,Shopping,69592.9,Net Banking,Pune,Completed,65,High
TXN100217,2026-07-17 10:02:00,ACC1011,Healthcare,1739.4,Wallet,Delhi,Completed,60,High
TXN100217,2026-07-17 10:02:00,ACC1011,Healthcare,1739.4,Wallet,Delhi,Completed,60,High
TXN100022,2026-07-18 04:49:00,ACC1045,Healthcare,133266.57,Debit Card,Delhi,Failed,95,Critical
TXN100204,2026-07-19 00:43:00,ACC1046,Bills,215490.22,UPI,Pune,Completed,60,High
TXN100483,2026-07-25 05:09:00,ACC1058,Food & Dining,184258.88,UPI,Delhi,Failed,95,Critical
TXN100406,2026-07-26 11:49:00,ACC1011,Shopping,179222.45,Credit Card,Pune,Completed,85,Critical
TXN100179,2026-07-26 19:16:00,ACC1036,Food & Dining,4658.22,UPI,Hyderabad,Completed,35,Medium
TXN100179,2026-07-26 19:16:00,ACC1036,Food & Dining,4658.22,UPI,Hyderabad,Completed,35,Medium
TXN100177,2026-08-01 01:39:00,ACC1070,Healthcare,69503.53,Credit Card,Delhi,Completed,40,Medium
TXN100288,2026-08-01 20:05:00,ACC1026,Shopping,101891.9,Net Banking,Ahmedabad,Failed,70,High
TXN100388,2026-08-03 11:32:00,ACC1005,Travel,201136.75,Credit Card,Chennai,Completed,60,High
TXN100258,2026-08-05 10:09:00,ACC1058,Healthcare,200487.56,Wallet,Bengaluru,Completed,85,Critical
TXN100230,2026-08-07 17:04:00,ACC1070,Bills,213365.97,UPI,Kolkata,Completed,60,High
TXN100465,2026-08-09 13:59:00,ACC1021,Bills,639.32,Net Banking,Delhi,Completed,35,Medium
TXN100465,2026-08-09 13:59:00,ACC1021,Bills,639.32,Net Banking,Delhi,Completed,35,Medium
TXN100308,2026-08-14 01:22:00,ACC1046,Bills,2151.55,Credit Card,Delhi,Completed,35,Medium
TXN100308,2026-08-14 01:22:00,ACC1046,Bills,2151.55,Credit Card,Delhi,Completed,35,Medium
TXN100032,2026-08-14 06:50:00,ACC1058,Shopping,1767.35,Debit Card,Bengaluru,Completed,60,High
TXN100032,2026-08-14 06:50:00,ACC1058,Shopping,1767.35,Debit Card,Bengaluru,Completed,60,High
TXN100365,2026-08-14 23:01:00,ACC1023,Food & Dining,237890.76,Net Banking,Chennai,Pending,60,High
TXN100468,2026-08-17 05:37:00,ACC1014,Shopping,249289.83,Wallet,Mumbai,Failed,70,High
TXN100155,2026-08-18 15:32:00,ACC1058,Entertainment,3218.95,Debit Card,Ahmedabad,Completed,60,High
TXN100155,2026-08-18 15:32:00,ACC1058,Entertainment,3218.95,Debit Card,Ahmedabad,Completed,60,High
TXN100497,2026-08-21 16:38:00,ACC1027,Entertainment,2167.3,Wallet,Bengaluru,Completed,60,High
TXN100497,2026-08-21 16:38:00,ACC1027,Entertainment,2167.3,Wallet,Bengaluru,Completed,60,High
TXN100041,2026-08-22 21:06:00,ACC1011,Transfer,103542.67,Wallet,Delhi,Completed,85,Critical
