Transaction_ID,Transaction_Date,Account_ID,Transaction_Category,Amount,Payment_Method,City,Status
TXN100092,2026-06-09 00:14:00,ACC1011,Healthcare,633.76,Wallet,Kolkata,Completed
TXN100359,2026-06-09 11:03:00,ACC1031,Travel,2043.63,Credit Card,Pune,Failed
TXN100106,2026-06-09 11:05:00,ACC1046,Bills,4061.4,UPI,Chennai,Pending
TXN100130,2026-06-09 19:06:00,ACC1027,Transfer,1440.98,Debit Card,Bengaluru,Completed
TXN100280,2026-06-09 19:28:00,ACC1009,Healthcare,193164.85,Wallet,Chennai,Completed
TXN100361,2026-06-09 22:34:00,ACC1015,Travel,3028.21,UPI,Pune,Completed
TXN100232,2026-06-10 09:45:00,ACC1074,Food & Dining,1967.49,Wallet,Bengaluru,Completed
TXN100128,2026-06-10 17:06:00,ACC1023,Bills,618.56,UPI,Chennai,Completed
TXN100352,2026-06-11 12:31:00,ACC1003,Bills,617.79,UPI,Mumbai,Completed
TXN100212,2026-06-11 21:47:00,ACC1074,Food & Dining,1673.84,Net Banking,Mumbai,Completed
TXN100299,2026-06-11 21:48:00,ACC1074,Food & Dining,1869.48,Net Banking,Hyderabad,Pending
TXN100000,2026-06-11 23:15:00,ACC1058,Healthcare,1604.52,Net Banking,Kolkata,Completed
TXN100014,2026-06-12 03:03:00,ACC1003,Transfer,1344.72,Debit Card,Bengaluru,Completed
TXN100336,2026-06-12 08:51:00,ACC1045,Bills,4515.82,UPI,Chennai,Completed
TXN100331,2026-06-12 13:26:00,ACC1027,Food & Dining,9866.53,Credit Card,Chennai,Completed
TXN100067,2026-06-12 21:59:00,ACC1030,Shopping,1721.4,Wallet,Bengaluru,Completed
TXN100403,2026-06-13 02:29:00,ACC1065,Travel,772.61,Net Banking,Chennai,Completed
TXN100209,2026-06-13 12:47:00,ACC1069,Entertainment,1313.17,Credit Card,Ahmedabad,Pending
TXN100472,2026-06-13 13:10:00,ACC1070,Shopping,2343.05,Credit Card,Pune,Completed
TXN100178,2026-06-13 14:21:00,ACC1006,Bills,2476.13,UPI,Bengaluru,Pending
TXN100035,2026-06-13 19:11:00,ACC1003,Travel,11650.14,Net Banking,Pune,Failed
TXN100432,2026-06-13 21:49:00,ACC1016,Healthcare,1913.97,Credit Card,Chennai,Completed
TXN100441,2026-06-13 23:51:00,ACC1076,Food & Dining,1071.77,UPI,Ahmedabad,Completed
TXN100488,2026-06-14 07:50:00,ACC1003,Transfer,2892.33,Wallet,Kolkata,Pending
TXN100076,2026-06-14 12:17:00,ACC1049,Transfer,1582.41,UPI,Chennai,Completed
TXN100412,2026-06-14 16:58:00,ACC1058,Food & Dining,6234.31,Wallet,Delhi,Pending
TXN100402,2026-06-14 18:30:00,ACC1076,Entertainment,1055.75,Credit Card,Chennai,Failed
TXN100343,2026-06-15 12:52:00,ACC1058,Healthcare,1067.97,Debit Card,Hyderabad,Completed
TXN100376,2026-06-15 19:57:00,ACC1042,Healthcare,177277.31,Debit Card,Chennai,Failed
TXN100208,2026-06-16 03:54:00,ACC1042,Transfer,4044.05,Credit Card,Delhi,Completed
TXN100327,2026-06-16 05:18:00,ACC1004,Travel,8289.01,Wallet,Hyderabad,Pending
TXN100225,2026-06-16 05:59:00,ACC1041,Food & Dining,263.0,Net Banking,Hyderabad,Completed
TXN100213,2026-06-16 06:16:00,ACC1068,Healthcare,5791.73,Debit Card,Pune,Completed
TXN100193,2026-06-16 11:39:00,ACC1076,Transfer,122138.48,Credit Card,Pune,Completed
TXN100392,2026-06-16 13:19:00,ACC1011,Travel,3725.93,Wallet,Pune,Failed
TXN100137,2026-06-16 17:42:00,ACC1042,Travel,559.46,Net Banking,Chennai,Failed
TXN100292,2026-06-16 17:51:00,ACC1069,Transfer,76017.25,Debit Card,Kolkata,Completed
TXN100462,2026-06-17 00:53:00,ACC1031,Food & Dining,607.57,Net Banking,Chennai,Completed
TXN100100,2026-06-17 03:27:00,ACC1063,Bills,937.92,UPI,Bengaluru,Failed
TXN100386,2026-06-17 04:48:00,ACC1043,Food & Dining,2107.79,Debit Card,Ahmedabad,Completed
TXN100169,2026-06-17 06:19:00,ACC1074,Food & Dining,1313.93,Credit Card,Chennai,Completed
TXN100065,2026-06-17 07:23:00,ACC1034,Healthcare,2725.42,Credit Card,Chennai,Pending
TXN100252,2026-06-17 10:24:00,ACC1003,Bills,352.5,Credit Card,Ahmedabad,Completed
TXN100215,2026-06-17 12:16:00,ACC1045,Healthcare,17274.22,Debit Card,Pune,Completed
TXN100061,2026-06-17 14:17:00,ACC1053,Food & Dining,3262.46,Wallet,Bengaluru,Failed
TXN100101,2026-06-17 21:00:00,ACC1002,Travel,1582.47,UPI,Hyderabad,Failed
TXN100151,2026-06-18 00:58:00,ACC1068,Travel,5973.22,UPI,Delhi,Failed
TXN100293,2026-06-18 11:44:00,ACC1026,Shopping,2409.35,Net Banking,Chennai,Completed
TXN100293,2026-06-18 11:44:00,ACC1026,Shopping,2409.35,Net Banking,Chennai,Completed
TXN100281,2026-06-18 14:22:00,ACC1003,Transfer,229.5,Net Banking,Pune,Failed
TXN100033,2026-06-18 19:38:00,ACC1018,Healthcare,492.81,Net Banking,Chennai,Failed
TXN100205,2026-06-19 00:19:00,ACC1053,Bills,528.71,Net Banking,Bengaluru,Pending
TXN100210,2026-06-19 03:05:00,ACC1003,Healthcare,223650.73,Wallet,Ahmedabad,Failed
TXN100272,2026-06-19 06:29:00,ACC1039,Travel,1264.84,Credit Card,Pune,Pending
TXN100458,2026-06-19 12:01:00,ACC1027,Food & Dining,3135.79,UPI,Bengaluru,Completed
TXN100257,2026-06-19 13:36:00,ACC1042,Entertainment,654.49,Credit Card,Chennai,Completed
TXN100133,2026-06-19 15:34:00,ACC1004,Shopping,1666.78,Wallet,Bengaluru,Completed
TXN100158,2026-06-19 22:26:00,ACC1003,Food & Dining,503.71,Net Banking,Hyderabad,Completed
TXN100480,2026-06-20 06:31:00,ACC1045,Food & Dining,5328.99,Net Banking,Hyderabad,Completed
TXN100029,2026-06-20 22:13:00,ACC1077,Entertainment,1505.32,Wallet,Ahmedabad,Completed
TXN100360,2026-06-21 08:19:00,ACC1040,Transfer,1713.4,Debit Card,Pune,Failed
TXN100492,2026-06-21 13:12:00,ACC1025,Travel,3394.46,Credit Card,Kolkata,Completed
TXN100345,2026-06-21 17:35:00,ACC1011,Entertainment,2121.98,Debit Card,Hyderabad,Completed
TXN100216,2026-06-21 21:20:00,ACC1019,Shopping,157418.01,Net Banking,Ahmedabad,Completed
TXN100330,2026-06-22 01:06:00,ACC1011,Travel,3830.89,Wallet,Ahmedabad,Pending
TXN100139,2026-06-22 04:55:00,ACC1032,Travel,2656.94,Net Banking,Mumbai,Completed
TXN100413,2026-06-22 08:26:00,ACC1011,Shopping,229110.83,UPI,Ahmedabad,Completed
TXN100045,2026-06-22 21:51:00,ACC1055,Bills,4026.06,Credit Card,Kolkata,Completed
TXN100340,2026-06-22 22:56:00,ACC1003,Travel,443.84,Wallet,Kolkata,Pending
TXN100091,2026-06-23 15:26:00,ACC1070,Food & Dining,130975.41,Net Banking,Mumbai,Completed
TXN100438,2026-06-23 15:55:00,ACC1026,Travel,552.36,UPI,Hyderabad,Pending
TXN100438,2026-06-23 15:55:00,ACC1026,Travel,552.36,UPI,Hyderabad,Pending
TXN100363,2026-06-23 17:11:00,ACC1027,Shopping,1864.56,Net Banking,Mumbai,Failed
TXN100460,2026-06-23 17:45:00,ACC1027,Transfer,2076.51,Net Banking,Kolkata,Failed
TXN100460,2026-06-23 17:45:00,ACC1027,Transfer,2076.51,Net Banking,Kolkata,Failed
TXN100127,2026-06-24 00:39:00,ACC1061,Entertainment,12724.01,Debit Card,Delhi,Completed
TXN100186,2026-06-24 11:47:00,ACC1058,Healthcare,6301.35,Net Banking,Bengaluru,Pending
TXN100440,2026-06-24 11:48:00,ACC1062,Transfer,1458.54,Credit Card,Hyderabad,Completed
TXN100459,2026-06-25 00:24:00,ACC1067,Travel,944.77,Wallet,Pune,Failed
TXN100289,2026-06-25 02:18:00,ACC1042,Entertainment,1801.67,Net Banking,Pune,Completed
TXN100306,2026-06-25 03:14:00,ACC1036,Travel,372.13,UPI,Hyderabad,Failed
TXN100234,2026-06-25 03:26:00,ACC1044,Food & Dining,931.73,UPI,Kolkata,Completed
TXN100144,2026-06-25 11:02:00,ACC1058,Transfer,3336.21,Debit Card,Hyderabad,Failed
TXN100040,2026-06-25 20:13:00,ACC1027,Transfer,1525.86,Net Banking,Ahmedabad,Completed
TXN100473,2026-06-25 20:17:00,ACC1045,Transfer,1070.19,UPI,Delhi,Completed
TXN100071,2026-06-25 22:40:00,ACC1003,Travel,764.89,Wallet,Hyderabad,Completed
TXN100435,2026-06-26 03:32:00,ACC1042,Shopping,470.93,Debit Card,Chennai,Completed
TXN100467,2026-06-26 10:31:00,ACC1037,Healthcare,631.11,Debit Card,Hyderabad,Completed
TXN100088,2026-06-26 17:45:00,ACC1073,Food & Dining,1370.65,Debit Card,Hyderabad,Completed
TXN100282,2026-06-26 19:17:00,ACC1058,Travel,475.53,UPI,Delhi,Failed
TXN100009,2026-06-26 19:54:00,ACC1003,Bills,1287.18,Net Banking,Pune,Failed
TXN100320,2026-06-27 01:04:00,ACC1050,Food & Dining,1266.93,Net Banking,Hyderabad,Failed
TXN100112,2026-06-27 10:04:00,ACC1058,Healthcare,1059.89,Net Banking,Chennai,Failed
TXN100370,2026-06-27 15:20:00,ACC1042,Shopping,1027.63,UPI,Ahmedabad,Completed
TXN100385,2026-06-27 17:07:00,ACC1078,Entertainment,1335.42,Net Banking,Hyderabad,Pending
TXN100264,2026-06-27 19:43:00,ACC1075,Shopping,2448.06,Wallet,Hyderabad,Failed
TXN100131,2026-06-27 20:20:00,ACC1001,Shopping,633.14,Debit Card,Pune,Failed
TXN100109,2026-06-28 03:39:00,ACC1059,Shopping,178788.91,Credit Card,Mumbai,Completed
TXN100245,2026-06-28 07:53:00,ACC1027,Food & Dining,163906.43,Credit Card,Hyderabad,Failed
TXN100324,2026-06-28 08:24:00,ACC1011,Entertainment,3973.52,Debit Card,Delhi,Completed
TXN100126,2026-06-28 10:24:00,ACC1038,Entertainment,645.11,UPI,Pune,Completed
TXN100418,2026-06-28 15:10:00,ACC1007,Shopping,437.35,Net Banking,Ahmedabad,Completed
TXN100094,2026-06-29 01:17:00,ACC1005,Travel,3030.07,Wallet,Hyderabad,Completed
TXN100082,2026-06-29 07:17:00,ACC1073,Food & Dining,875.09,Credit Card,Hyderabad,Completed
TXN100423,2026-06-29 07:24:00,ACC1035,Healthcare,100786.89,Credit Card,Kolkata,Failed
TXN100117,2026-06-29 07:34:00,ACC1058,Food & Dining,1231.88,UPI,Bengaluru,Pending
TXN100400,2026-06-29 08:18:00,ACC1006,Healthcare,11783.34,Wallet,Mumbai,Failed
TXN100015,2026-06-29 12:50:00,ACC1003,Bills,807.12,Debit Card,Chennai,Completed
TXN100050,2026-06-29 21:26:00,ACC1042,Travel,2453.79,Debit Card,Kolkata,Pending
TXN100295,2026-06-30 05:47:00,ACC1058,Food & Dining,616.97,Debit Card,Ahmedabad,Completed
TXN100197,2026-06-30 13:17:00,ACC1068,Bills,1532.29,Credit Card,Chennai,Completed
TXN100351,2026-06-30 14:42:00,ACC1058,Healthcare,2217.28,Net Banking,Ahmedabad,Completed
TXN100207,2026-06-30 19:41:00,ACC1045,Entertainment,1169.21,Wallet,Delhi,Completed
TXN100059,2026-06-30 20:41:00,ACC1003,Transfer,3730.8,Credit Card,Mumbai,Pending
TXN100348,2026-06-30 20:56:00,ACC1044,Shopping,1317.54,Wallet,Pune,Completed
TXN100433,2026-07-01 04:44:00,ACC1051,Transfer,1010.79,Net Banking,Kolkata,Completed
TXN100436,2026-07-01 05:25:00,ACC1034,Travel,681.14,UPI,Delhi,Completed
TXN100194,2026-07-01 06:25:00,ACC1001,Travel,2583.64,UPI,Pune,Completed
TXN100397,2026-07-01 14:24:00,ACC1040,Shopping,1339.09,Credit Card,Hyderabad,Completed
TXN100012,2026-07-01 15:31:00,ACC1020,Travel,458.04,Credit Card,Kolkata,Completed
TXN100214,2026-07-01 17:42:00,ACC1032,Food & Dining,3504.61,Credit Card,Kolkata,Completed
TXN100478,2026-07-02 06:17:00,ACC1009,Bills,3324.78,UPI,Bengaluru,Completed
TXN100445,2026-07-02 09:56:00,ACC1011,Healthcare,1861.53,Credit Card,Chennai,Completed
TXN100401,2026-07-02 14:45:00,ACC1027,Bills,360.05,Credit Card,Kolkata,Failed
TXN100425,2026-07-02 17:54:00,ACC1003,Healthcare,5795.07,Net Banking,Kolkata,Failed
TXN100084,2026-07-02 18:38:00,ACC1027,Travel,1341.29,Credit Card,Mumbai,Completed
TXN100393,2026-07-03 02:14:00,ACC1019,Shopping,2580.75,Net Banking,Delhi,Pending
TXN100244,2026-07-03 08:16:00,ACC1042,Shopping,813.09,Debit Card,Chennai,Failed
TXN100267,2026-07-03 10:37:00,ACC1050,Shopping,3555.46,Wallet,Hyderabad,Completed
TXN100332,2026-07-03 12:43:00,ACC1037,Transfer,1283.79,Credit Card,Bengaluru,Completed
TXN100375,2026-07-03 14:55:00,ACC1041,Shopping,3093.22,Net Banking,Delhi,Pending
TXN100437,2026-07-03 18:42:00,ACC1028,Food & Dining,2940.63,UPI,Ahmedabad,Pending
TXN100326,2026-07-03 19:34:00,ACC1011,Shopping,4176.65,Credit Card,Mumbai,Failed
TXN100407,2026-07-03 20:53:00,ACC1050,Healthcare,2987.41,Wallet,Mumbai,Completed
TXN100123,2026-07-04 11:10:00,ACC1058,Shopping,2730.26,UPI,Kolkata,Completed
TXN100368,2026-07-04 13:54:00,ACC1007,Shopping,2129.1,UPI,Mumbai,Pending
TXN100415,2026-07-04 14:44:00,ACC1029,Healthcare,337.2,Debit Card,Delhi,Failed
TXN100066,2026-07-04 17:15:00,ACC1011,Shopping,3949.43,Credit Card,Delhi,Completed
TXN100206,2026-07-04 23:25:00,ACC1032,Transfer,2406.23,Wallet,Hyderabad,Failed
TXN100116,2026-07-05 00:24:00,ACC1027,Bills,1110.49,UPI,Delhi,Failed
TXN100198,2026-07-05 02:00:00,ACC1040,Healthcare,573.08,Wallet,Ahmedabad,Completed
TXN100414,2026-07-05 06:57:00,ACC1023,Bills,367.03,Debit Card,Chennai,Pending
TXN100414,2026-07-05 06:57:00,ACC1023,Bills,367.03,Debit Card,Chennai,Pending
TXN100489,2026-07-05 12:09:00,ACC1042,Transfer,186348.96,Debit Card,Delhi,Pending
TXN100301,2026-07-05 14:11:00,ACC1072,Transfer,2045.15,Wallet,Chennai,Completed
TXN100172,2026-07-05 17:35:00,ACC1027,Entertainment,5327.74,Net Banking,Pune,Pending
TXN100381,2026-07-05 19:08:00,ACC1027,Bills,2292.99,Wallet,Pune,Completed
TXN100455,2026-07-05 22:56:00,ACC1060,Bills,3076.21,Credit Card,Chennai,Completed
TXN100170,2026-07-06 03:56:00,ACC1078,Food & Dining,1936.15,Wallet,Pune,Completed
TXN100270,2026-07-06 07:39:00,ACC1006,Entertainment,5809.23,Credit Card,Delhi,Completed
TXN100491,2026-07-06 09:53:00,ACC1067,Travel,13404.83,Net Banking,Mumbai,Pending
TXN100243,2026-07-06 10:05:00,ACC1010,Entertainment,924.36,Debit Card,Chennai,Completed
TXN100113,2026-07-06 13:34:00,ACC1059,Travel,3300.01,Debit Card,Bengaluru,Completed
TXN100353,2026-07-06 16:47:00,ACC1016,Travel,1112.5,Wallet,Bengaluru,Failed
TXN100298,2026-07-06 21:03:00,ACC1065,Transfer,1895.08,Wallet,Bengaluru,Pending
TXN100466,2026-07-07 00:45:00,ACC1058,Healthcare,478.59,Net Banking,Kolkata,Pending
TXN100285,2026-07-07 04:03:00,ACC1012,Transfer,2068.12,Debit Card,Hyderabad,Completed
TXN100136,2026-07-07 06:51:00,ACC1074,Healthcare,1437.56,Credit Card,Hyderabad,Pending
TXN100142,2026-07-07 06:56:00,ACC1050,Transfer,162978.11,Net Banking,Ahmedabad,Completed
TXN100276,2026-07-07 13:42:00,ACC1042,Food & Dining,993.17,Credit Card,Kolkata,Failed
TXN100248,2026-07-07 14:53:00,ACC1063,Travel,531.11,UPI,Pune,Completed
TXN100159,2026-07-07 19:12:00,ACC1053,Entertainment,1522.7,UPI,Mumbai,Failed
TXN100081,2026-07-07 19:15:00,ACC1042,Transfer,2152.72,Wallet,Delhi,Failed
TXN100366,2026-07-08 01:11:00,ACC1012,Transfer,215277.94,Net Banking,Hyderabad,Completed
TXN100027,2026-07-08 07:07:00,ACC1046,Food & Dining,1093.39,UPI,Ahmedabad,Pending
TXN100416,2026-07-08 12:45:00,ACC1038,Travel,3767.2,UPI,Delhi,Pending
TXN100449,2026-07-08 16:00:00,ACC1063,Food & Dining,2485.48,Credit Card,Delhi,Completed
TXN100175,2026-07-08 16:28:00,ACC1042,Shopping,1425.75,Credit Card,Delhi,Pending
TXN100242,2026-07-08 18:24:00,ACC1078,Entertainment,2027.53,Wallet,Pune,Failed
TXN100486,2026-07-09 00:28:00,ACC1016,Travel,1056.79,Debit Card,Mumbai,Pending
TXN100006,2026-07-09 02:46:00,ACC1027,Healthcare,2058.18,Net Banking,Mumbai,Completed
TXN100221,2026-07-09 04:56:00,ACC1003,Travel,2324.92,UPI,Bengaluru,Completed
TXN100221,2026-07-09 04:56:00,ACC1003,Travel,2324.92,UPI,Bengaluru,Completed
TXN100098,2026-07-09 14:31:00,ACC1003,Travel,2985.5,UPI,Mumbai,Failed
TXN100266,2026-07-09 16:00:00,ACC1014,Transfer,2880.64,Net Banking,Hyderabad,Completed
TXN100187,2026-07-09 18:20:00,ACC1042,Travel,1132.03,Wallet,Bengaluru,Pending
TXN100182,2026-07-09 22:04:00,ACC1003,Shopping,9179.32,Credit Card,Mumbai,Completed
TXN100303,2026-07-10 01:30:00,ACC1017,Shopping,1831.39,Debit Card,Delhi,Pending
TXN100431,2026-07-10 05:31:00,ACC1060,Entertainment,3541.57,Wallet,Bengaluru,Pending
TXN100426,2026-07-10 11:15:00,ACC1025,Food & Dining,98764.69,Credit Card,Chennai,Completed
TXN100043,2026-07-10 12:06:00,ACC1016,Food & Dining,2826.71,Net Banking,Bengaluru,Pending
TXN100474,2026-07-10 13:18:00,ACC1007,Food & Dining,6321.76,Credit Card,Kolkata,Completed
TXN100224,2026-07-11 07:33:00,ACC1053,Bills,955.28,Wallet,Delhi,Completed
TXN100391,2026-07-11 21:11:00,ACC1011,Travel,2359.1,UPI,Delhi,Failed
TXN100358,2026-07-12 00:00:00,ACC1006,Entertainment,8428.24,Net Banking,Kolkata,Completed
TXN100037,2026-07-12 01:50:00,ACC1076,Bills,416.96,UPI,Pune,Pending
TXN100019,2026-07-12 11:35:00,ACC1039,Entertainment,1703.17,Credit Card,Bengaluru,Completed
TXN100013,2026-07-12 20:23:00,ACC1042,Travel,2722.5,Net Banking,Ahmedabad,Completed
TXN100013,2026-07-12 20:23:00,ACC1042,Travel,2722.5,Net Banking,Ahmedabad,Completed
TXN100329,2026-07-13 03:53:00,ACC1033,Bills,291.32,Net Banking,Pune,Failed
TXN100237,2026-07-13 10:07:00,ACC1065,Healthcare,1463.22,Credit Card,Bengaluru,Completed
TXN100380,2026-07-13 10:55:00,ACC1019,Transfer,4723.07,UPI,Ahmedabad,Pending
TXN100114,2026-07-13 12:28:00,ACC1079,Entertainment,2370.79,Credit Card,Hyderabad,Pending
TXN100367,2026-07-13 13:07:00,ACC1024,Shopping,1720.78,Net Banking,Pune,Completed
TXN100218,2026-07-13 14:53:00,ACC1033,Transfer,5738.58,Debit Card,Bengaluru,Failed
TXN100346,2026-07-13 15:54:00,ACC1027,Entertainment,1888.49,Credit Card,Chennai,Completed
TXN100129,2026-07-13 22:58:00,ACC1069,Healthcare,143293.15,Wallet,Hyderabad,Completed
TXN100246,2026-07-14 01:23:00,ACC1076,Transfer,6460.18,UPI,Ahmedabad,Failed
TXN100120,2026-07-14 11:12:00,ACC1065,Healthcare,4149.69,Debit Card,Mumbai,Completed
TXN100188,2026-07-14 11:43:00,ACC1076,Healthcare,6540.52,Net Banking,Kolkata,Pending
TXN100020,2026-07-14 17:15:00,ACC1058,Entertainment,187428.35,UPI,Ahmedabad,Failed
TXN100439,2026-07-14 21:28:00,ACC1072,Healthcare,1406.32,Credit Card,Bengaluru,Failed
TXN100149,2026-07-14 23:35:00,ACC1042,Shopping,637.58,Net Banking,Hyderabad,Pending
TXN100107,2026-07-15 05:44:00,ACC1067,Entertainment,1135.04,Credit Card,Hyderabad,Completed
TXN100274,2026-07-15 06:14:00,ACC1039,Bills,1843.35,Wallet,Delhi,Completed
TXN100196,2026-07-15 11:24:00,ACC1003,Shopping,1042.74,UPI,Hyderabad,Completed
TXN100134,2026-07-15 19:05:00,ACC1023,Transfer,972.65,Net Banking,Bengaluru,Completed
TXN100017,2026-07-16 00:20:00,ACC1027,Entertainment,3107.23,Debit Card,Bengaluru,Completed
TXN100021,2026-07-16 02:05:00,ACC1012,Healthcare,3437.43,Credit Card,Pune,Completed
TXN100249,2026-07-16 08:38:00,ACC1034,Bills,1051.42,Net Banking,Delhi,Completed
TXN100249,2026-07-16 08:38:00,ACC1034,Bills,1051.42,Net Banking,Delhi,Completed
TXN100087,2026-07-16 14:57:00,ACC1042,Shopping,1851.08,Credit Card,Hyderabad,Completed
TXN100038,2026-07-16 15:25:00,ACC1062,Bills,1873.8,Wallet,Pune,Pending
TXN100450,2026-07-16 15:26:00,ACC1009,Healthcare,471.16,Debit Card,Chennai,Pending
TXN100287,2026-07-16 15:33:00,ACC1001,Bills,1760.66,Credit Card,Bengaluru,Failed
